"","Species","Class","Order","Suborder","Family","Genus","Accession","Level"
"1605","Lasioglossum baleicum","Insecta","Hymenoptera","Apocrita","Halictidae","Lasioglossum","GCA_022376115.1","Scaffold"
"1606","Lasioglossum calceatum","Insecta","Hymenoptera","Apocrita","Halictidae","Lasioglossum","GCA_028455575.1","Chromosome"
"1607","Lasioglossum figueresi","Insecta","Hymenoptera","Apocrita","Halictidae","Lasioglossum","GCA_028455805.1","Chromosome"
"1608","Lasioglossum lativentre","Insecta","Hymenoptera","Apocrita","Halictidae","Lasioglossum","GCA_916610255.1","Chromosome"
"1609","Lasioglossum leucozonium","Insecta","Hymenoptera","Apocrita","Halictidae","Lasioglossum","GCA_028454225.1","Chromosome"
"1610","Lasioglossum malachurum","Insecta","Hymenoptera","Apocrita","Halictidae","Lasioglossum","GCA_028455605.1","Chromosome"
"1611","Lasioglossum marginatum","Insecta","Hymenoptera","Apocrita","Halictidae","Lasioglossum","GCA_028455795.1","Chromosome"
"1612","Lasioglossum morio","Insecta","Hymenoptera","Apocrita","Halictidae","Lasioglossum","GCA_916610235.2","Chromosome"
"1613","Lasioglossum oenotherae","Insecta","Hymenoptera","Apocrita","Halictidae","Lasioglossum","GCA_028455765.1","Chromosome"
"1614","Lasioglossum pauxillum","Insecta","Hymenoptera","Apocrita","Halictidae","Lasioglossum","GCA_028455745.1","Chromosome"
"1615","Lasioglossum vierecki","Insecta","Hymenoptera","Apocrita","Halictidae","Lasioglossum","GCA_028455595.1","Chromosome"
"1616","Lasioglossum zephyrum","Insecta","Hymenoptera","Apocrita","Halictidae","Lasioglossum","GCA_028455615.1","Chromosome"
"1617","Lasiommata megera","Insecta","Lepidoptera","Glossata","Nymphalidae","Lasiommata","GCA_928268935.1","Chromosome"
"1618","Lasius fuliginosus","Insecta","Hymenoptera","Apocrita","Formicidae","Lasius","GCA_949152495.1","Chromosome"
"1619","Lasius niger","Insecta","Hymenoptera","Apocrita","Formicidae","Lasius","GCA_001045655.1","Scaffold"
"1620","Laspeyria flexula","Insecta","Lepidoptera","Glossata","Erebidae","Laspeyria","GCA_905147015.1","Chromosome"
"1621","Latheticus oryzae","Insecta","Coleoptera","Polyphaga","Tenebrionidae","Latheticus","GCA_030157265.1","Chromosome"
"1622","Lathronympha strigana","Insecta","Lepidoptera","Glossata","Tortricidae","Lathronympha","GCA_949128165.1","Chromosome"
"1623","Laupala kohalensis","Insecta","Orthoptera","Ensifera","Gryllidae","Laupala","GCA_002313205.1","Scaffold"
"1624","Lednia tumana","Insecta","Plecoptera",NA,"Nemouridae","Lednia","GCA_003287335.1","Scaffold"
"1625","Leguminivora glycinivorella","Insecta","Lepidoptera","Glossata","Tortricidae","Leguminivora","GCF_023078275.1","Chromosome"
"1626","Leistus spinibarbis","Insecta","Coleoptera","Adephaga","Carabidae","Leistus","GCA_933228885.1","Chromosome"
"1627","Lepidochrysops patricia","Insecta","Lepidoptera","Glossata","Lycaenidae","Lepidochrysops","GCA_018230145.1","Contig"
"1628","Lepidostoma basale","Insecta","Trichoptera","Integripalpia","Lepidostomatidae","Lepidostoma","GCA_022606425.1","Scaffold"
"1629","Lepidotrigona ventralis","Insecta","Hymenoptera","Apocrita","Apidae","Lepidotrigona","GCA_002806875.1","Scaffold"
"1630","Lepisma saccharinum","Insecta","Zygentoma",NA,"Lepismatidae","Lepisma","GCA_022664845.1","Scaffold"
"1631","Leptidea juvernica","Insecta","Lepidoptera","Glossata","Pieridae","Leptidea","GCA_018238065.1","Contig"
"1632","Leptidea reali","Insecta","Lepidoptera","Glossata","Pieridae","Leptidea","GCA_018237925.1","Contig"
"1633","Leptidea sinapis","Insecta","Lepidoptera","Glossata","Pieridae","Leptidea","GCF_905404315.1","Chromosome"
"1634","Leptinotarsa decemlineata","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa","GCA_024712935.1","Chromosome"
"1635","Leptinotarsa defecta","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa","GCA_015342085.1","Scaffold"
"1636","Leptinotarsa haldemani","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa","GCA_015342125.1","Scaffold"
"1637","Leptinotarsa juncta","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa","GCA_015342185.1","Scaffold"
"1638","Leptinotarsa lineolata","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa","GCA_015342045.1","Scaffold"
"1639","Leptinotarsa peninsularis","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa","GCA_015342205.1","Scaffold"
"1640","Leptinotarsa rubiginosa","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa","GCA_015342145.1","Scaffold"
"1641","Leptinotarsa texana","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa","GCA_015342105.1","Scaffold"
"1642","Leptinotarsa tumamoca","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa","GCA_015342025.1","Scaffold"
"1643","Leptinotarsa undecemlineata","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa","GCA_015342065.1","Scaffold"
"1644","Leptodirus hochenwartii","Insecta","Coleoptera","Polyphaga","Leiodidae","Leptodirus","GCA_947310635.1","Chromosome"
"1645","Leptogaster cylindrica","Insecta","Diptera","Brachycera","Asilidae","Leptogaster","GCA_963082835.1","Chromosome"
"1646","Leptomastidea abnormis","Insecta","Hymenoptera","Apocrita","Encyrtidae","Leptomastidea","GCA_030522805.1","Scaffold"
"1647","Leptonema lineaticorne","Insecta","Trichoptera","Annulipalpia","Hydropsychidae","Leptonema","GCA_024500535.1","Contig"
"1648","Leptophobia aripa","Insecta","Lepidoptera","Glossata","Pieridae","Leptophobia","GCA_951799465.1","Chromosome"
"1649","Leptopilina boulardi","Insecta","Hymenoptera","Apocrita","Figitidae","Leptopilina","GCA_032872485.1","Chromosome"
"1650","Leptopilina clavipes","Insecta","Hymenoptera","Apocrita","Figitidae","Leptopilina","GCA_001855655.1","Scaffold"
"1651","Leptopilina drosophilae","Insecta","Hymenoptera","Apocrita","Figitidae","Leptopilina","GCA_032873175.1","Chromosome"
"1652","Leptopilina heterotoma","Insecta","Hymenoptera","Apocrita","Figitidae","Leptopilina","GCA_032872495.1","Chromosome"
"1653","Leptopilina sp. ZJUHJH005","Insecta","Hymenoptera","Apocrita","Figitidae","Leptopilina","GCA_032872475.1","Chromosome"
"1654","Leptopilina syphax","Insecta","Hymenoptera","Apocrita","Figitidae","Leptopilina","GCA_032872505.1","Chromosome"
"1655","Leptopterna dolabrata","Insecta","Hemiptera","Heteroptera","Miridae","Leptopterna","GCA_954871275.1","Chromosome"
"1656","Leptoteleia sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Leptoteleia","GCA_022817305.1","Scaffold"
"1657","Leptothorax acervorum","Insecta","Hymenoptera","Apocrita","Formicidae","Leptothorax","GCA_035220615.1","Contig"
"1658","Leptura quadrifasciata","Insecta","Coleoptera","Polyphaga","Cerambycidae","Leptura","GCA_963675555.1","Chromosome"
"1659","Leptusa sp. GC000079","Insecta","Coleoptera","Polyphaga","Staphylinidae","Leptusa","GCA_030264655.1","Scaffold"
"1660","Lerema accius","Insecta","Lepidoptera","Glossata","Hesperiidae","Lerema","GCA_001278395.1","Scaffold"
"1661","Lestremia cinerea","Insecta","Diptera","Nematocera","Cecidomyiidae","Lestremia","GCA_027564135.1","Scaffold"
"1662","Lethocerus indicus","Insecta","Hemiptera","Heteroptera","Belostomatidae","Lethocerus","GCA_019843655.1","Scaffold"
"1663","Lethrus apterus","Insecta","Coleoptera","Polyphaga","Geotrupidae","Lethrus","GCA_018397195.1","Scaffold"
"1664","Leucania comma","Insecta","Lepidoptera","Glossata","Noctuidae","Leucania","GCA_958295575.1","Chromosome"
"1665","Leucinodes orbonalis","Insecta","Lepidoptera","Glossata","Crambidae","Leucinodes","GCA_019425675.1","Scaffold"
"1666","Leucoma salicis","Insecta","Lepidoptera","Glossata","Erebidae","Leucoma","GCA_948253155.1","Chromosome"
"1667","Leucophenga maculata","Insecta","Diptera","Brachycera","Drosophilidae","Leucophenga","GCA_035044805.1","Contig"
"1668","Leucophenga montana","Insecta","Diptera","Brachycera","Drosophilidae","Leucophenga","GCA_035044765.1","Contig"
"1669","Leucophenga varia","Insecta","Diptera","Brachycera","Drosophilidae","Leucophenga","GCA_018903435.1","Contig"
"1670","Leucophora obtusa","Insecta","Diptera","Brachycera","Anthomyiidae","Leucophora","GCA_949987735.1","Chromosome"
"1671","Leucoptera coffeella","Insecta","Lepidoptera","Glossata","Lyonetiidae","Leucoptera","GCA_030578115.1","Contig"
"1672","Leucozona laternaria","Insecta","Diptera","Brachycera","Syrphidae","Leucozona","GCA_932273885.2","Chromosome"
"1673","Leuctra nigra","Insecta","Plecoptera",NA,"Leuctridae","Leuctra","GCA_934045905.1","Chromosome"
"1674","Ligdia adustata","Insecta","Lepidoptera","Glossata","Geometridae","Ligdia","GCA_947049295.1","Chromosome"
"1675","Limenitis arthemis","Insecta","Lepidoptera","Glossata","Nymphalidae","Limenitis","GCA_018230685.1","Contig"
"1676","Limenitis camilla","Insecta","Lepidoptera","Glossata","Nymphalidae","Limenitis","GCA_905147385.1","Chromosome"
"1677","Limnephilus auricula","Insecta","Trichoptera","Integripalpia","Limnephilidae","Limnephilus","GCA_951813805.1","Chromosome"
"1678","Limnephilus lunatus","Insecta","Trichoptera","Integripalpia","Limnephilidae","Limnephilus","GCA_917563855.1","Chromosome"
"1679","Limnephilus marmoratus","Insecta","Trichoptera","Integripalpia","Limnephilidae","Limnephilus","GCA_917880885.1","Chromosome"
"1680","Limnephilus rhombicus","Insecta","Trichoptera","Integripalpia","Limnephilidae","Limnephilus","GCA_929108145.1","Chromosome"
"1681","Limonius californicus","Insecta","Coleoptera","Polyphaga","Elateridae","Limonius","GCA_014611495.1","Scaffold"
"1682","Linepithema humile","Insecta","Hymenoptera","Apocrita","Formicidae","Linepithema","GCF_000217595.1","Scaffold"
"1683","Linnaemya tessellans","Insecta","Diptera","Brachycera","Tachinidae","Linnaemya","GCA_951800035.1","Chromosome"
"1684","Linnaemya vulpina","Insecta","Diptera","Brachycera","Tachinidae","Linnaemya","GCA_963675445.1","Chromosome"
"1685","Liodrosophila aerea","Insecta","Diptera","Brachycera","Drosophilidae","Liodrosophila","GCA_035045005.1","Contig"
"1686","Liometoxenus newtonarum","Insecta","Coleoptera","Polyphaga","Staphylinidae","Liometoxenus","GCA_030264535.1","Scaffold"
"1687","Liostenogaster flavolineata","Insecta","Hymenoptera","Apocrita","Vespidae","Liostenogaster","GCA_025433975.1","Scaffold"
"1688","Liposcelis brunnea","Insecta","Psocoptera","Troctomorpha","Liposcelididae","Liposcelis","GCA_023512825.1","Chromosome"
"1689","Liriomyza trifolii","Insecta","Diptera","Brachycera","Agromyzidae","Liriomyza","GCA_001014935.1","Scaffold"
"1690","Lissagria laeviuscula","Insecta","Coleoptera","Polyphaga","Staphylinidae","Lissagria","GCA_030264695.1","Scaffold"
"1691","Lissonota sp. PSUC_FEM 10030012","Insecta","Hymenoptera","Apocrita","Ichneumonidae","Lissonota","GCA_018491695.1","Scaffold"
"1692","Listronotus bonariensis","Insecta","Coleoptera","Polyphaga","Curculionidae","Listronotus","GCA_014170235.1","Scaffold"
"1693","Listronotus oregonensis","Insecta","Coleoptera","Polyphaga","Curculionidae","Listronotus","GCA_019359885.1","Scaffold"
"1694","Lithophane leautieri","Insecta","Lepidoptera","Glossata","Noctuidae","Lithophane","GCA_949152455.1","Chromosome"
"1695","Lithophane ornitopus","Insecta","Lepidoptera","Glossata","Noctuidae","Lithophane","GCA_948473465.1","Chromosome"
"1696","Lithophane semibrunnea","Insecta","Lepidoptera","Glossata","Noctuidae","Lithophane","GCA_947363905.1","Chromosome"
"1697","Lithophane socia","Insecta","Lepidoptera","Glossata","Noctuidae","Lithophane","GCA_947522985.1","Chromosome"
"1698","Lithosia quadra","Insecta","Lepidoptera","Glossata","Erebidae","Lithosia","GCA_963576445.1","Chromosome"
"1699","Lobocla liliana","Insecta","Lepidoptera","Glossata","Hesperiidae","Lobocla","GCA_018249115.1","Contig"
"1700","Lobocla nepos","Insecta","Lepidoptera","Glossata","Hesperiidae","Lobocla","GCA_018249075.1","Contig"
"1701","Lobophora halterata","Insecta","Lepidoptera","Glossata","Geometridae","Lobophora","GCA_932526365.1","Chromosome"
"1702","Lobotractus cyda","Insecta","Lepidoptera","Glossata","Hesperiidae","Lobotractus","GCA_018248995.1","Contig"
"1703","Lobotractus valeriana","Insecta","Lepidoptera","Glossata","Hesperiidae","Lobotractus","GCA_018251335.1","Contig"
"1704","Lochmaea capreae","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Lochmaea","GCA_949126875.1","Chromosome"
"1705","Lochmaea crataegi","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Lochmaea","GCA_947563755.1","Chromosome"
"1706","Locusta migratoria","Insecta","Orthoptera","Caelifera","Acrididae","Locusta","GCA_026315105.1","Chromosome"
"1707","Lomographa bimaculata","Insecta","Lepidoptera","Glossata","Geometridae","Lomographa","GCA_948107665.1","Chromosome"
"1708","Lordiphosa andalusiaca","Insecta","Diptera","Brachycera","Drosophilidae","Lordiphosa","GCA_035044965.1","Contig"
"1709","Lordiphosa clarofinis","Insecta","Diptera","Brachycera","Drosophilidae","Lordiphosa","GCA_018904275.1","Scaffold"
"1710","Lordiphosa collinella","Insecta","Diptera","Brachycera","Drosophilidae","Lordiphosa","GCA_018904265.1","Contig"
"1711","Lordiphosa fenestrarum","Insecta","Diptera","Brachycera","Drosophilidae","Lordiphosa","GCA_035044985.1","Contig"
"1712","Lordiphosa magnipectinata","Insecta","Diptera","Brachycera","Drosophilidae","Lordiphosa","GCA_018904285.1","Contig"
"1713","Lordiphosa mommai","Insecta","Diptera","Brachycera","Drosophilidae","Lordiphosa","GCA_018904225.1","Contig"
"1714","Lordiphosa stackelbergi","Insecta","Diptera","Brachycera","Drosophilidae","Lordiphosa","GCA_018904235.1","Contig"
"1715","Losaria neptunus","Insecta","Lepidoptera","Glossata","Papilionidae","Losaria","GCA_018247595.1","Contig"
"1716","Lucilia cuprina","Insecta","Diptera","Brachycera","Calliphoridae","Lucilia","GCF_022045245.1","Chromosome"
"1717","Lucilia sericata","Insecta","Diptera","Brachycera","Calliphoridae","Lucilia","GCF_015586225.1","Contig"
"1718","Luehdorfia chinensis","Insecta","Lepidoptera","Glossata","Papilionidae","Luehdorfia","GCA_029286615.1","Scaffold"
"1719","Luehdorfia japonica","Insecta","Lepidoptera","Glossata","Papilionidae","Luehdorfia","GCA_018249735.1","Contig"
"1720","Luffia ferchaultella","Insecta","Lepidoptera","Glossata","Psychidae","Luffia","GCA_949709985.1","Chromosome"
"1721","Luperina nickerlii","Insecta","Lepidoptera","Glossata","Noctuidae","Luperina","GCA_963855955.1","Chromosome"
"1722","Luperina testacea","Insecta","Lepidoptera","Glossata","Noctuidae","Luperina","GCA_927399505.1","Chromosome"
"1723","Lutzomyia longipalpis","Insecta","Diptera","Nematocera","Psychodidae","Lutzomyia","GCF_024334085.1","Chromosome"
"1724","Lycaena phlaeas","Insecta","Lepidoptera","Glossata","Lycaenidae","Lycaena","GCA_905333005.1","Chromosome"
"1725","Lycas argentea","Insecta","Lepidoptera","Glossata","Hesperiidae","Lycas","GCA_018251815.1","Contig"
"1726","Lychnuchoides ozias","Insecta","Lepidoptera","Glossata","Hesperiidae","Lychnuchoides","GCA_018251875.1","Contig"
"1727","Lycia hirtaria","Insecta","Lepidoptera","Glossata","Geometridae","Lycia","GCA_947563715.1","Chromosome"
"1728","Lycophotia porphyrea","Insecta","Lepidoptera","Glossata","Noctuidae","Lycophotia","GCA_950005105.1","Chromosome"
"1729","Lygus lineolaris","Insecta","Hemiptera","Heteroptera","Miridae","Lygus","GCA_030264115.1","Scaffold"
"1730","Lymantria dispar","Insecta","Lepidoptera","Glossata","Erebidae","Lymantria","GCA_963576585.1","Chromosome"
"1731","Lymantria monacha","Insecta","Lepidoptera","Glossata","Erebidae","Lymantria","GCA_905163515.2","Chromosome"
"1732","Lypha dubia","Insecta","Diptera","Brachycera","Tachinidae","Lypha","GCA_947311025.1","Chromosome"
"1733","Lysandra bellargus","Insecta","Lepidoptera","Glossata","Lycaenidae","Lysandra","GCA_905333045.1","Chromosome"
"1734","Lysandra coridon","Insecta","Lepidoptera","Glossata","Lycaenidae","Lysandra","GCA_905220515.1","Chromosome"
"1735","Lysiphlebus fabarum","Insecta","Hymenoptera","Apocrita","Braconidae","Lysiphlebus","GCA_011426435.1","Contig"
"1736","Macaria notata","Insecta","Lepidoptera","Glossata","Geometridae","Macaria","GCA_927399415.1","Chromosome"
"1737","Machilis hrabei","Insecta","Archaeognatha",NA,"Machilidae","Machilis","GCA_003456935.1","Scaffold"
"1738","Machimus atricapillus","Insecta","Diptera","Brachycera","Asilidae","Machimus","GCA_933228815.1","Chromosome"
"1739","Machimus rusticus","Insecta","Diptera","Brachycera","Asilidae","Machimus","GCA_951509405.1","Chromosome"
"1740","Maconellicoccus hirsutus","Insecta","Hemiptera","Sternorrhyncha","Pseudococcidae","Maconellicoccus","GCA_003261595.1","Contig"
"1741","Macrocentrus cingulum","Insecta","Hymenoptera","Apocrita","Braconidae","Macrocentrus","GCA_002156465.1","Contig"
"1742","Macrocera vittata","Insecta","Diptera","Nematocera","Keroplatidae","Macrocera","GCA_024741295.1","Scaffold"
"1743","Macrophya alboannulata","Insecta","Hymenoptera",NA,"Tenthredinidae","Macrophya","GCA_949628255.1","Chromosome"
"1744","Macrophya annulata","Insecta","Hymenoptera",NA,"Tenthredinidae","Macrophya","GCA_963924015.1","Chromosome"
"1745","Macropis europaea","Insecta","Hymenoptera","Apocrita","Melittidae","Macropis","GCA_916610135.1","Chromosome"
"1746","Macrosiphum euphorbiae","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Macrosiphum","GCA_030849545.1","Contig"
"1747","Macrosiphum rosae","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Macrosiphum","GCA_016617965.1","Scaffold"
"1748","Macrosteles quadrilineatus","Insecta","Hemiptera","Auchenorrhyncha","Cicadellidae","Macrosteles","GCF_028750875.1","Scaffold"
"1749","Macroteleia sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Macroteleia","GCA_022817385.1","Scaffold"
"1750","Magicicada cassinii","Insecta","Hemiptera","Auchenorrhyncha","Cicadidae","Magicicada","GCA_028571305.1","Scaffold"
"1751","Magicicada septendecim","Insecta","Hemiptera","Auchenorrhyncha","Cicadidae","Magicicada","GCA_011326945.2","Scaffold"
"1752","Magicicada septendecula","Insecta","Hemiptera","Auchenorrhyncha","Cicadidae","Magicicada","GCA_034769895.1","Chromosome"
"1753","Malachius bipustulatus","Insecta","Coleoptera","Polyphaga","Melyridae","Malachius","GCA_910589415.1","Chromosome"
"1754","Malacosoma neustria","Insecta","Lepidoptera","Glossata","Lasiocampidae","Malacosoma","GCA_963693495.1","Chromosome"
"1755","Malaya genurostris","Insecta","Diptera","Nematocera","Culicidae","Malaya","GCF_030247185.1","Chromosome"
"1756","Mallateleia sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Mallateleia","GCA_022817365.1","Scaffold"
"1757","Malthinus flaveolus","Insecta","Coleoptera","Polyphaga","Cantharidae","Malthinus","GCA_950108345.1","Chromosome"
"1758","Mamestra brassicae","Insecta","Lepidoptera","Glossata","Noctuidae","Mamestra","GCA_905163435.1","Chromosome"
"1759","Mamestra configurata","Insecta","Lepidoptera","Glossata","Noctuidae","Mamestra","GCA_002192655.3","Scaffold"
"1760","Manduca sexta","Insecta","Lepidoptera","Glossata","Sphingidae","Manduca","GCF_014839805.1","Chromosome"
"1761","Maniola hyperantus","Insecta","Lepidoptera","Glossata","Nymphalidae","Maniola","GCA_963576595.1","Chromosome"
